""	"NT1early"	"NT2early"	"NT1late"	"NT2late"
"b0001"	566.82386688581	526.462718916715	399.178312370565	670.430044275399
"b0002"	16.7471196877575	6.97851268824056	6.61407656839197	6.28540551402271
"b0003"	22.787256012103	11.0099687460217	12.7452764149775	9.8214251936994
"b0004"	25.7423631193623	16.7235562966264	15.3456406574268	15.2902828241403
"b0005"	14.3499713135648	8.59753070685695	5.68630074601944	9.29898479811211
"b0006"	28.9725070928541	23.3851384369204	16.9723601149194	29.4392303874033
"b0007"	9.80857076273542	7.40056303398009	8.91037507528362	7.96200747930209
"b0008"	405.384763786593	346.755268668976	293.932868945293	338.128511109937
"b0009"	84.9799227127376	45.8999532344569	56.8368968955443	86.0316515307352
"b0010"	8.62043606155922	6.58866995643393	7.2112501377887	8.77014109769665
"b0011"	0.762155436126135	0.807006388833198	1.54754592597267	1.53916010846083
"b0012"	2.8265440263401	2.31664104467459	1.43089893975746	1.29917435760669
"b0013"	1.03933948608535	0.957699623042294	1.15832052233729	1.47178176660767
"b0014"	173.452590592813	135.663080102761	218.601683322946	300.647801603388
"b0015"	42.0258349300636	31.2529149405244	53.9036745402754	48.5407005558223
"b0016"	1.75696578418642	1.60166692172246	3.32043487506906	2.78919777852757
"b0018"	2.75610560149419	0.923496065076497	2.85939694656978	5.86610161262201
"b0019"	20.7884445157477	12.143439496807	14.1531509202169	22.6881937992205
"b0020"	19.5104133543886	16.7110585354229	14.5769944064578	18.9439010700295
"b0021"	0.641316711858679	0.260622117525891	0.236536355347662	0.347993131501792
"b0022"	44.2284140002625	30.917042178648	17.4730132706489	26.9240077521816
"b0023"	9955.9012098032	8269.10453438934	7907.95977089085	9727.34144993748
"b0024"	14.1378573342812	12.7016782597648	12.653602304909	15.4970230098453
"b0025"	61.6938507168407	42.0514616634769	51.2334732481056	49.2279506586127
"b0026"	82.9126433877714	33.8828313120275	41.6262648541672	39.6746282931381
"b0027"	65.2668314319293	37.3807894711379	29.2207214530518	35.5962426700817
"b0028"	41.0323461832763	22.9156421060814	19.1758135182747	18.6392289134606
"b0029"	32.28837451503	16.396995305793	19.1378058105893	18.6822911960571
"b0030"	18.650606310757	5.10446049084632	15.2374216384318	15.0700801872648
"b0031"	32.3415986012584	19.1391142134285	15.9645730957871	24.9512386384641
"b0032"	4.3114927849714	1.86758730697475	1.98437858798933	1.3080851574517
"b0033"	3.86724725575563	1.55499676825504	3.23134209093193	2.29714348705317
"b0034"	13.4641706151966	10.9781760766354	10.6618138987864	10.7874913575221
"b0035"	2.05078220778582	1.3947988661615	1.25789227138169	1.11128212549111
"b0036"	0.453601853403841	0.328623028040263	0.290082824122104	0.164490393270623
"b0037"	1.57035929984855	0.869411233754323	1.04843141289234	0.891614834226213
"b0038"	1.91516219957538	0.703236946107103	0.323530904514899	0.636201231624745
"b0039"	7.63124640402482	5.04836649983387	4.92046459870155	6.46835365702054
"b0040"	1.27575816737426	0.918042092042409	0.810376084447737	0.768056133330948
"b0041"	0.314419866514372	0.2920590266438	0.489639459318895	0.454963782819463
"b0042"	0.204806148730991	0.0857812162358742	0.258962104038465	0.189831724673919
"b0043"	0.401395027256638	0.136277030518184	0.376717509063839	0.306185424785662
"b0044"	0.0651555293814727	0.206969310929204	0.121797596025627	0.0561152122876344
"b0045"	0.618783962523103	0.436718142881223	0.67125181922985	0.526692307137847
"b0046"	1.78361225366342	1.36959162193548	1.94362257137953	1.83349084484176
"b0047"	2.79425233950152	1.49687480332945	1.80436160863041	2.29649633993829
"b0048"	73.4954371423012	58.3653456820355	130.225989670601	140.467599398406
"b0049"	16.6787990400826	7.3011292141061	6.26947606629674	5.92950574245758
"b0050"	27.7002532675426	16.3749533761249	14.7934078138506	15.7690903565108
"b0051"	63.6679900715355	27.460468219267	19.4052138491895	25.4534593612877
"b0052"	40.657050334039	18.6046595133452	15.6078083052476	14.4471164725982
"b0053"	92.9362094860491	64.7946679879753	53.7560571118312	49.8365100605
"b0054"	66.5955120710008	24.6226403083453	27.5615359344323	29.959664636315
