character	guide_name	KEGG_pathway	nt_1_merged	nt_2_merged	targeting_1_merged	targeting_2_merged
non-essential	thrAb0002_159	K12524 thrA; bifunctional aspartokinase / homoserine dehydrogenase 1 [EC:2.7.2.4 1.1.1.3]	326	365	484	431
non-essential	thrAb0002_478	K12524 thrA; bifunctional aspartokinase / homoserine dehydrogenase 1 [EC:2.7.2.4 1.1.1.3]	460	500	19	63
non-essential	thrAb0002_651	K12524 thrA; bifunctional aspartokinase / homoserine dehydrogenase 1 [EC:2.7.2.4 1.1.1.3]	447	522	210	325
non-essential	thrAb0002_818	K12524 thrA; bifunctional aspartokinase / homoserine dehydrogenase 1 [EC:2.7.2.4 1.1.1.3]	529	577	769	812
non-essential	thrAb0002_1047	K12524 thrA; bifunctional aspartokinase / homoserine dehydrogenase 1 [EC:2.7.2.4 1.1.1.3]	456	564	26	65
non-essential	thrAb0002_1475	K12524 thrA; bifunctional aspartokinase / homoserine dehydrogenase 1 [EC:2.7.2.4 1.1.1.3]	468	503	1	4
non-essential	thrAb0002_1610	K12524 thrA; bifunctional aspartokinase / homoserine dehydrogenase 1 [EC:2.7.2.4 1.1.1.3]	484	535	186	324
non-essential	thrAb0002_1882	K12524 thrA; bifunctional aspartokinase / homoserine dehydrogenase 1 [EC:2.7.2.4 1.1.1.3]	420	395	6	23
non-essential	thrAb0002_2013	K12524 thrA; bifunctional aspartokinase / homoserine dehydrogenase 1 [EC:2.7.2.4 1.1.1.3]	388	431	29	44
non-essential	thrAb0002_2412	K12524 thrA; bifunctional aspartokinase / homoserine dehydrogenase 1 [EC:2.7.2.4 1.1.1.3]	351	330	55	96
non-essential	thrBb0003_77	K00872 thrB; homoserine kinase [EC:2.7.1.39]	584	644	599	687
non-essential	thrBb0003_183	K00872 thrB; homoserine kinase [EC:2.7.1.39]	431	428	35	58
non-essential	thrBb0003_353	K00872 thrB; homoserine kinase [EC:2.7.1.39]	510	512	224	388
non-essential	thrBb0003_669	K00872 thrB; homoserine kinase [EC:2.7.1.39]	560	529	56	106
non-essential	thrCb0004_9	K01733 thrC; threonine synthase [EC:4.2.3.1]	641	664	4	5
non-essential	thrCb0004_288	K01733 thrC; threonine synthase [EC:4.2.3.1]	576	573	836	855
non-essential	thrCb0004_423	K01733 thrC; threonine synthase [EC:4.2.3.1]	457	479	228	307
non-essential	thrCb0004_594	K01733 thrC; threonine synthase [EC:4.2.3.1]	589	591	4	13
non-essential	thrCb0004_651	K01733 thrC; threonine synthase [EC:4.2.3.1]	528	562	607	695
non-essential	thrCb0004_799	K01733 thrC; threonine synthase [EC:4.2.3.1]	454	540	172	254
non-essential	thrCb0004_953	K01733 thrC; threonine synthase [EC:4.2.3.1]	467	469	510	549
non-essential	thrCb0004_1094	K01733 thrC; threonine synthase [EC:4.2.3.1]	625	642	124	190
non-essential	thrCb0004_1209	K01733 thrC; threonine synthase [EC:4.2.3.1]	320	364	1	8
non-essential	yaaXb0005_11	nan	386	405	258	350
non-essential	yaaXb0005_174	nan	604	636	964	940
non-essential	yaaXb0005_259	nan	395	419	526	550
non-essential	yaaAb0006_8	K09861 K09861; uncharacterized protein	335	350	375	374
non-essential	yaaAb0006_282	K09861 K09861; uncharacterized protein	619	699	399	559
non-essential	yaaAb0006_358	K09861 K09861; uncharacterized protein	439	468	131	194
non-essential	yaaAb0006_405	K09861 K09861; uncharacterized protein	478	463	468	527
non-essential	yaaAb0006_534	K09861 K09861; uncharacterized protein	437	463	284	390
non-essential	yaaAb0006_633	K09861 K09861; uncharacterized protein	376	370	505	536
non-essential	yaaAb0006_736	K09861 K09861; uncharacterized protein	509	544	120	232
non-essential	yaaJb0007_81	K03310 TC.AGCS; alanine or glycine:cation symporter, AGCS family	462	541	765	811
non-essential	yaaJb0007_178	K03310 TC.AGCS; alanine or glycine:cation symporter, AGCS family	422	462	271	338
non-essential	yaaJb0007_333	K03310 TC.AGCS; alanine or glycine:cation symporter, AGCS family	596	686	760	843
non-essential	yaaJb0007_546	K03310 TC.AGCS; alanine or glycine:cation symporter, AGCS family	298	274	117	136
non-essential	yaaJb0007_655	K03310 TC.AGCS; alanine or glycine:cation symporter, AGCS family	468	465	400	494
non-essential	yaaJb0007_782	K03310 TC.AGCS; alanine or glycine:cation symporter, AGCS family	490	564	366	408
non-essential	yaaJb0007_945	K03310 TC.AGCS; alanine or glycine:cation symporter, AGCS family	340	305	498	481
non-essential	yaaJb0007_1067	K03310 TC.AGCS; alanine or glycine:cation symporter, AGCS family	583	592	425	519
non-essential	yaaJb0007_1273	K03310 TC.AGCS; alanine or glycine:cation symporter, AGCS family	528	643	649	682
non-essential	yaaJb0007_1390	K03310 TC.AGCS; alanine or glycine:cation symporter, AGCS family	533	576	777	816
non-essential	talBb0008_103	K00616 E2.2.1.2; transaldolase [EC:2.2.1.2]	450	492	2	3
non-essential	talBb0008_137	K00616 E2.2.1.2; transaldolase [EC:2.2.1.2]	570	585	1	5
non-essential	talBb0008_279	K00616 E2.2.1.2; transaldolase [EC:2.2.1.2]	572	645	18	25
non-essential	talBb0008_329	K00616 E2.2.1.2; transaldolase [EC:2.2.1.2]	557	627	130	211
non-essential	talBb0008_528	K00616 E2.2.1.2; transaldolase [EC:2.2.1.2]	564	533	51	107
non-essential	talBb0008_595	K00616 E2.2.1.2; transaldolase [EC:2.2.1.2]	349	371	4	9
non-essential	talBb0008_672	K00616 E2.2.1.2; transaldolase [EC:2.2.1.2]	586	596	22	28
non-essential	talBb0008_777	K00616 E2.2.1.2; transaldolase [EC:2.2.1.2]	636	632	214	237
non-essential	mogb0009_12	K03831 mogA; molybdopterin adenylyltransferase [EC:2.7.7.75]	402	420	178	256
non-essential	mogb0009_181	K03831 mogA; molybdopterin adenylyltransferase [EC:2.7.7.75]	411	372	270	358
non-essential	mogb0009_366	K03831 mogA; molybdopterin adenylyltransferase [EC:2.7.7.75]	395	369	373	435
non-essential	mogb0009_494	K03831 mogA; molybdopterin adenylyltransferase [EC:2.7.7.75]	492	532	73	86
non-essential	satPb0010_84	K07034 K07034; uncharacterized protein	377	426	469	528
non-essential	satPb0010_183	K07034 K07034; uncharacterized protein	582	660	604	727
non-essential	satPb0010_323	K07034 K07034; uncharacterized protein	427	530	185	299
non-essential	satPb0010_374	K07034 K07034; uncharacterized protein	400	438	240	300
non-essential	satPb0010_511	K07034 K07034; uncharacterized protein	388	432	371	461
non-essential	yaaWb0011_14	nan	373	364	522	451
non-essential	yaaWb0011_121	nan	451	450	755	708
non-essential	yaaWb0011_293	nan	454	521	641	623
non-essential	yaaWb0011_370	nan	526	565	473	564
non-essential	mbiAb0012_43	nan	416	429	544	660
non-essential	mbiAb0012_118	nan	507	560	817	824
non-essential	mbiAb0012_199	nan	558	622	876	839
non-essential	mbiAb0012_371	nan	573	612	785	862
non-essential	mbiAb0012_453	nan	538	578	898	909
non-essential	yaaIb0013_133	nan	571	584	785	897
non-essential	yaaIb0013_282	nan	512	472	635	686
non-essential	dnaKb0014_113	K04043 dnaK; molecular chaperone DnaK	425	492	326	426
non-essential	dnaKb0014_271	K04043 dnaK; molecular chaperone DnaK	594	593	3	7
non-essential	dnaKb0014_481	K04043 dnaK; molecular chaperone DnaK	643	681	5	27
non-essential	dnaKb0014_699	K04043 dnaK; molecular chaperone DnaK	337	374	1	1
non-essential	dnaKb0014_910	K04043 dnaK; molecular chaperone DnaK	278	271	14	12
non-essential	dnaKb0014_1043	K04043 dnaK; molecular chaperone DnaK	508	486	21	24
non-essential	dnaKb0014_1333	K04043 dnaK; molecular chaperone DnaK	266	320	65	132
non-essential	dnaKb0014_1521	K04043 dnaK; molecular chaperone DnaK	477	554	6	1
non-essential	dnaKb0014_1712	K04043 dnaK; molecular chaperone DnaK	629	627	10	24
non-essential	dnaKb0014_1878	K04043 dnaK; molecular chaperone DnaK	505	523	39	57
non-essential	dnaJb0015_33	K03686 dnaJ; molecular chaperone DnaJ	473	570	324	459
non-essential	dnaJb0015_143	K03686 dnaJ; molecular chaperone DnaJ	501	505	47	62
non-essential	dnaJb0015_337	K03686 dnaJ; molecular chaperone DnaJ	360	328	163	254
non-essential	dnaJb0015_564	K03686 dnaJ; molecular chaperone DnaJ	523	603	488	590
non-essential	dnaJb0015_725	K03686 dnaJ; molecular chaperone DnaJ	472	563	3	17
non-essential	dnaJb0015_815	K03686 dnaJ; molecular chaperone DnaJ	403	482	190	263
non-essential	mokCb0018_74	K18919 hokC_D; protein HokC/D	503	559	851	838
non-essential	nhaAb0019_97	K03313 nhaA; Na+:H+ antiporter, NhaA family	565	554	666	759
non-essential	nhaAb0019_170	K03313 nhaA; Na+:H+ antiporter, NhaA family	513	587	218	239
non-essential	nhaAb0019_321	K03313 nhaA; Na+:H+ antiporter, NhaA family	338	390	101	178
non-essential	nhaAb0019_434	K03313 nhaA; Na+:H+ antiporter, NhaA family	280	290	344	298
non-essential	nhaAb0019_562	K03313 nhaA; Na+:H+ antiporter, NhaA family	482	489	235	335
non-essential	nhaAb0019_779	K03313 nhaA; Na+:H+ antiporter, NhaA family	406	472	720	663
non-essential	nhaAb0019_976	K03313 nhaA; Na+:H+ antiporter, NhaA family	277	302	46	73
non-essential	nhaAb0019_1097	K03313 nhaA; Na+:H+ antiporter, NhaA family	401	334	1	10
non-essential	nhaRb0020_35	K03717 nhaR; LysR family transcriptional regulator, transcriptional activator of nhaA	388	370	345	423
non-essential	nhaRb0020_150	K03717 nhaR; LysR family transcriptional regulator, transcriptional activator of nhaA	553	523	153	257
non-essential	nhaRb0020_276	K03717 nhaR; LysR family transcriptional regulator, transcriptional activator of nhaA	450	457	623	675
non-essential	nhaRb0020_364	K03717 nhaR; LysR family transcriptional regulator, transcriptional activator of nhaA	356	419	563	570
non-essential	nhaRb0020_431	K03717 nhaR; LysR family transcriptional regulator, transcriptional activator of nhaA	460	493	6	10
non-essential	nhaRb0020_601	K03717 nhaR; LysR family transcriptional regulator, transcriptional activator of nhaA	512	627	498	696
non-essential	nhaRb0020_647	K03717 nhaR; LysR family transcriptional regulator, transcriptional activator of nhaA	535	625	191	271
non-essential	nhaRb0020_773	K03717 nhaR; LysR family transcriptional regulator, transcriptional activator of nhaA	472	557	493	556
non-essential	nhaRb0020_855	K03717 nhaR; LysR family transcriptional regulator, transcriptional activator of nhaA	453	496	59	110
non-essential	rpsTb0023_8	K02968 RP-S20; small subunit ribosomal protein S20	453	525	0	3
non-essential	yaaYb0024_79	nan	461	498	860	773
non-essential	yaaYb0024_186	nan	549	568	907	903
essential	ribFb0025_0	K11753 ribF; riboflavin kinase / FMN adenylyltransferase [EC:2.7.1.26 2.7.7.2]	599	626	4	10
essential	ribFb0025_127	K11753 ribF; riboflavin kinase / FMN adenylyltransferase [EC:2.7.1.26 2.7.7.2]	526	560	813	871
essential	ribFb0025_251	K11753 ribF; riboflavin kinase / FMN adenylyltransferase [EC:2.7.1.26 2.7.7.2]	228	234	50	59
essential	ribFb0025_353	K11753 ribF; riboflavin kinase / FMN adenylyltransferase [EC:2.7.1.26 2.7.7.2]	354	355	67	98
essential	ribFb0025_520	K11753 ribF; riboflavin kinase / FMN adenylyltransferase [EC:2.7.1.26 2.7.7.2]	600	667	46	79
essential	ribFb0025_589	K11753 ribF; riboflavin kinase / FMN adenylyltransferase [EC:2.7.1.26 2.7.7.2]	513	530	133	198
essential	ribFb0025_760	K11753 ribF; riboflavin kinase / FMN adenylyltransferase [EC:2.7.1.26 2.7.7.2]	544	545	4	7
